SYMBOL ENSEMBL HOCOID
XBP1 ENSG00000100219 M02730.2.00.XBP1
PRDM1 ENSG00000057657 M02731.2.00.PRDM1
EHF ENSG00000135373 M02733.2.00.EHF
ERG ENSG00000157554 M02734.2.00.ERG
FOXJ3 ENSG00000198815 M02736.2.00.FOXJ3
GATA1 ENSG00000102145 M02738.2.00.GATA1
MEIS2 ENSG00000134138 M02740.2.00.MEIS2
POU2F2 ENSG00000028277 M02742.2.00.POU2F2
HSF2 ENSG00000025156 M02744.2.00.HSF2
MEF2C ENSG00000081189 M02745.2.00.MEF2C
RXRG ENSG00000143171 M02746.2.00.RXRG
NFATC1 ENSG00000131196 M02747.2.00.NFATC1
RFX3 ENSG00000080298 M02750.2.00.RFX3
RUNX3 ENSG00000020633 M02751.2.00.RUNX3
EOMES ENSG00000163508 M02752.2.00.EOMES
TFAP2B ENSG00000008196 M02753.2.00.TFAP2B
TFAP2C ENSG00000087510 M02756.2.00.TFAP2C
TFAP2A ENSG00000137203 M02762.2.00.TFAP2A
ZBED1 ENSG00000214717 M02771.2.00.ZBED1
MLXIPL ENSG00000009950 M02772.2.00.MLXIPL
TFE3 ENSG00000068323 M02773.2.00.TFE3
MNT ENSG00000070444 M02774.2.00.MNT
TCF3 ENSG00000071564 M02775.2.00.TCF3
TFAP4 ENSG00000090447 M02776.2.00.TFAP4
TFEC ENSG00000105967 M02778.2.00.TFEC
MLX ENSG00000108788 M02779.2.00.MLX
MYF6 ENSG00000111046 M02780.2.00.MYF6
BHLHE41 ENSG00000123095 M02782.2.00.BHLHE41
BHLHE23 ENSG00000125533 M02784.2.00.BHLHE23
ARNTL ENSG00000133794 M02787.2.00.ARNTL
BHLHE40 ENSG00000134107 M02788.2.00.BHLHE40
CLOCK ENSG00000134852 M02789.2.00.CLOCK
HEY2 ENSG00000135547 M02790.2.00.HEY2
USF1 ENSG00000158773 M02792.2.00.USF1
HEY1 ENSG00000164683 M02793.2.00.HEY1
MESP1 ENSG00000166823 M02794.2.00.MESP1
NEUROD2 ENSG00000171532 M02795.2.00.NEUROD2
NHLH1 ENSG00000171786 M02796.2.00.NHLH1
OLIG3 ENSG00000177468 M02798.2.00.OLIG3
NEUROG2 ENSG00000178403 M02799.2.00.NEUROG2
MSC ENSG00000178860 M02801.2.00.MSC
HES7 ENSG00000179111 M02802.2.00.HES7
BHLHA15 ENSG00000180535 M02803.2.00.BHLHA15
BHLHE22 ENSG00000180828 M02804.2.00.BHLHE22
FIGLA ENSG00000183733 M02805.2.00.FIGLA
OLIG1 ENSG00000184221 M02806.2.00.OLIG1
HES5 ENSG00000197921 M02809.2.00.HES5
SREBF2 ENSG00000198911 M02811.2.00.SREBF2
OLIG2 ENSG00000205927 M02812.2.00.OLIG2
DBP ENSG00000105516 M02827.2.00.DBP
CREB3 ENSG00000107175 M02829.2.00.CREB3
HLF ENSG00000108924 M02831.2.00.HLF
NFE2 ENSG00000123405 M02832.2.00.NFE2
BATF3 ENSG00000123685 M02833.2.00.BATF3
ATF4 ENSG00000128272 M02834.2.00.ATF4
NRL ENSG00000129535 M02835.2.00.NRL
JDP2 ENSG00000140044 M02836.2.00.JDP2
CEBPG ENSG00000153879 M02840.2.00.CEBPG
CREB3L1 ENSG00000157613 M02842.2.00.CREB3L1
TEF ENSG00000167074 M02849.2.00.TEF
CEBPB ENSG00000172216 M02851.2.00.CEBPB
MAFF ENSG00000185022 M02853.2.00.MAFF
MAFG ENSG00000197063 M02854.2.00.MAFG
MAFK ENSG00000198517 M02855.2.00.MAFK
CEBPD ENSG00000221869 M02859.2.00.CEBPD
ATF7 ENSG00000170653 M02872.2.00.ATF7
YY1 ENSG00000100811 M02877.2.00.YY1
CTCF ENSG00000102974 M02878.2.00.CTCF
SP4 ENSG00000105866 M02879.2.00.SP4
GLIS3 ENSG00000107249 M02880.2.00.GLIS3
PRDM4 ENSG00000110851 M02881.2.00.PRDM4
ZNF410 ENSG00000119725 M02882.2.00.ZNF410
EGR1 ENSG00000120738 M02883.2.00.EGR1
GLIS2 ENSG00000126603 M02887.2.00.GLIS2
KLF16 ENSG00000129911 M02888.2.00.KLF16
EGR4 ENSG00000135625 M02889.2.00.EGR4
ZNF740 ENSG00000139651 M02891.2.00.ZNF740
ZIC1 ENSG00000152977 M02893.2.00.ZIC1
ZIC3 ENSG00000156925 M02894.2.00.ZIC3
ZBTB7B ENSG00000160685 M02895.2.00.ZBTB7B
BCL6B ENSG00000161940 M02896.2.00.BCL6B
ZNF75A ENSG00000162086 M02897.2.00.ZNF75A
