SYMBOL ENSEMBL HOCOID
SP2 ENSG00000167182 M04525.2.00.SP2
ZNF23 ENSG00000167377 M04527.2.00.ZNF23
ZNF444 ENSG00000167685 M04529.2.00.ZNF444
ZNF597 ENSG00000167981 M04531.2.00.ZNF597
ZBTB43 ENSG00000169155 M04533.2.00.ZBTB43
ZNF32 ENSG00000169740 M04535.2.00.ZNF32
ZNF296 ENSG00000170684 M04543.2.00.ZNF296
ZBTB26 ENSG00000171448 M04547.2.00.ZBTB26
ZNF274 ENSG00000171606 M04549.2.00.ZNF274
KLF17 ENSG00000171872 M04551.2.00.KLF17
OVOL1 ENSG00000172818 M04556.2.00.OVOL1
ZNF449 ENSG00000173275 M04560.2.00.ZNF449
HIC1 ENSG00000177374 M04568.2.00.HIC1
ZBTB33 ENSG00000177485 M04570.2.00.ZBTB33
ZNF454 ENSG00000178187 M04571.2.00.ZNF454
ZFP42 ENSG00000179059 M04581.2.00.ZFP42
ZNF771 ENSG00000179965 M04589.2.00.ZNF771
ZBTB2 ENSG00000181472 M04595.2.00.ZBTB2
ZFP41 ENSG00000181638 M04597.2.00.ZFP41
ZBTB20 ENSG00000181722 M04599.2.00.ZBTB20
ZFP1 ENSG00000184517 M04601.2.00.ZFP1
ZBTB37 ENSG00000185278 M04603.2.00.ZBTB37
SNAI3 ENSG00000185669 M04607.2.00.SNAI3
ZNF501 ENSG00000186446 M04609.2.00.ZNF501
ZNF396 ENSG00000186496 M04611.2.00.ZNF396
ZSCAN23 ENSG00000187987 M04613.2.00.ZSCAN23
ZNF177 ENSG00000188629 M04615.2.00.ZNF177
ZNF250 ENSG00000196150 M04619.2.00.ZNF250
ZNF140 ENSG00000196387 M04621.2.00.ZNF140
ZNF460 ENSG00000197714 M04627.2.00.ZNF460
ZBTB14 ENSG00000198081 M04629.2.00.ZBTB14
ZBTB12 ENSG00000204366 M04633.2.00.ZBTB12
ZNF580 ENSG00000213015 M04637.2.00.ZNF580
SP9 ENSG00000217236 M04645.2.00.SP9
ZSCAN31 ENSG00000235109 M04649.2.00.ZSCAN31
ZBTB22 ENSG00000236104 M04651.2.00.ZBTB22
ZNF345 ENSG00000251247 M04653.2.00.ZNF345
MBNL2 ENSG00000139793 M04659.2.00.MBNL2
YBX1 ENSG00000065978 M04661.2.00.YBX1
LIN28B ENSG00000187772 M04663.2.00.LIN28B
DMRTC2 ENSG00000142025 M04685.2.00.DMRTC2
DMRTA1 ENSG00000176399 M04694.2.00.DMRTA1
ETV7 ENSG00000010030 M04712.2.00.ETV7
ELF2 ENSG00000109381 M04722.2.00.ELF2
ETS2 ENSG00000157557 M04778.2.00.ETS2
FOXA2 ENSG00000125798 M04815.2.00.FOXA2
FOXA1 ENSG00000129514 M04817.2.00.FOXA1
FOXQ1 ENSG00000164379 M04823.2.00.FOXQ1
FOXA3 ENSG00000170608 M04831.2.00.FOXA3
FOXE1 ENSG00000178919 M04845.2.00.FOXE1
FOXL2 ENSG00000183770 M04847.2.00.FOXL2
FOXR2 ENSG00000189299 M04857.2.00.FOXR2
GATA6 ENSG00000141448 M04877.2.00.GATA6
GATA2 ENSG00000179348 M04879.2.00.GATA2
TFCP2L1 ENSG00000115112 M04885.2.00.TFCP2L1
UBP1 ENSG00000153560 M04893.2.00.UBP1
HOXA11 ENSG00000005073 M04897.2.00.HOXA11
BARX2 ENSG00000043039 M04915.2.00.BARX2
LHX5 ENSG00000089116 M04936.2.00.LHX5
SIX4 ENSG00000100625 M04939.2.00.SIX4
HOXA5 ENSG00000106004 M04968.2.00.HOXA5
HOXA6 ENSG00000106006 M04974.2.00.HOXA6
NKX3.2 ENSG00000109705 M05012.2.00.NKX3.2
NANOG ENSG00000111704 M05015.2.00.NANOG
NKX2.3 ENSG00000119919 M05042.2.00.NKX2.3
HOXB1 ENSG00000120094 M05057.2.00.HOXB1
LHX4 ENSG00000121454 M05063.2.00.LHX4
BARHL1 ENSG00000125492 M05091.2.00.BARHL1
SIX1 ENSG00000126778 M05094.2.00.SIX1
HOXD1 ENSG00000128645 M05098.2.00.HOXD1
HOXD9 ENSG00000128709 M05104.2.00.HOXD9
HOXD10 ENSG00000128710 M05112.2.00.HOXD10
CDX4 ENSG00000131264 M05129.2.00.CDX4
RHOXF2 ENSG00000131721 M05132.2.00.RHOXF2
RHOXF2B ENSG00000203989 M05133.2.00.RHOXF2B
SIX3 ENSG00000138083 M05159.2.00.SIX3
TLX3 ENSG00000164438 M05233.2.00.TLX3
NKX6.3 ENSG00000165066 M05242.2.00.NKX6.3
NKX3.1 ENSG00000167034 M05255.2.00.NKX3.1
HOXD4 ENSG00000170166 M05273.2.00.HOXD4
IRX1 ENSG00000170549 M05283.2.00.IRX1
SIX2 ENSG00000170577 M05285.2.00.SIX2
HOXB9 ENSG00000170689 M05289.2.00.HOXB9
TGIF2LY ENSG00000176679 M05313.2.00.TGIF2LY
IRX3 ENSG00000177508 M05319.2.00.IRX3
HOXC9 ENSG00000180806 M05331.2.00.HOXC9
HOXB4 ENSG00000182742 M05343.2.00.HOXB4
ARGFX ENSG00000186103 M05369.2.00.ARGFX
HOXA4 ENSG00000197576 M05381.2.00.HOXA4
HOXA10 ENSG00000253293 M05394.2.00.HOXA10
POU5F1 ENSG00000204531 M05501.2.00.POU5F1
HSFY1 ENSG00000169953 M05515.2.00.HSFY1
HSF5 ENSG00000176160 M05519.2.00.HSF5
IRF6 ENSG00000117595 M05527.2.00.IRF6
BORCS8.MEF2B ENSG00000064489 M05558.2.00.BORCS8.MEF2B
PPARD ENSG00000112033 M05581.2.00.PPARD
NR5A2 ENSG00000116833 M05589.2.00.NR5A2
NR2C1 ENSG00000120798 M05597.2.00.NR2C1
NR4A1 ENSG00000123358 M05601.2.00.NR4A1
NR1D1 ENSG00000126368 M05605.2.00.NR1D1
NR5A1 ENSG00000136931 M05613.2.00.NR5A1
RORC ENSG00000143365 M05621.2.00.RORC
NR6A1 ENSG00000148200 M05627.2.00.NR6A1
NR1D2 ENSG00000174738 M05659.2.00.NR1D2
RORB ENSG00000198963 M05677.2.00.RORB
PAX8 ENSG00000125618 M05685.2.00.PAX8
PROX2 ENSG00000119608 M05691.2.00.PROX2
RFX1 ENSG00000132005 M05723.2.00.RFX1
RFX7 ENSG00000181827 M05729.2.00.RFX7
SKOR2 ENSG00000215474 M05739.2.00.SKOR2
SMAD5 ENSG00000113658 M05743.2.00.SMAD5
NFIC ENSG00000141905 M05745.2.00.NFIC
SOX30 ENSG00000039600 M05753.2.00.SOX30
TCF7 ENSG00000081059 M05755.2.00.TCF7
BBX ENSG00000114439 M05763.2.00.BBX
SOX3 ENSG00000134595 M05769.2.00.SOX3
SOX12 ENSG00000177732 M05789.2.00.SOX12
TBX18 ENSG00000112837 M05797.2.00.TBX18
TBX22 ENSG00000122145 M05798.2.00.TBX22
TBX3 ENSG00000135111 M05801.2.00.TBX3
TBX6 ENSG00000149922 M05805.2.00.TBX6
T ENSG00000164458 M05809.2.00.T
TEAD2 ENSG00000074219 M05823.2.00.TEAD2
XPA ENSG00000136936 M05827.2.00.XPA
SKOR1 ENSG00000188779 M05829.2.00.SKOR1
FOSL2 ENSG00000075426 M05834.2.00.FOSL2
ZKSCAN1 ENSG00000106261 M05847.2.00.ZKSCAN1
ZFP14 ENSG00000142065 M05848.2.00.ZFP14
ZNF415 ENSG00000170954 M05850.2.00.ZNF415
ZNF135 ENSG00000176293 M05851.2.00.ZNF135
ZFP82 ENSG00000181007 M05853.2.00.ZFP82
ZKSCAN7 ENSG00000196345 M05856.2.00.ZKSCAN7
ZNF777 ENSG00000196453 M05857.2.00.ZNF777
ZNF682 ENSG00000197124 M05858.2.00.ZNF682
FOXP2 ENSG00000128573 M05866.2.00.FOXP2
SOX6 ENSG00000110693 M05892.2.00.SOX6
SOX5 ENSG00000134532 M05894.2.00.SOX5
SOX17 ENSG00000164736 M05896.2.00.SOX17
PLAG1 ENSG00000181690 M06465.2.00.PLAG1
ZNF582 ENSG00000018869 M07564.2.00.ZNF582
ZNF506 ENSG00000081665 M07565.2.00.ZNF506
ZNF324 ENSG00000083812 M07566.2.00.ZNF324
ZNF671 ENSG00000083814 M07567.2.00.ZNF671
ZNF264 ENSG00000083844 M07568.2.00.ZNF264
ZNF302 ENSG00000089335 M07570.2.00.ZNF302
ZNF184 ENSG00000096654 M07571.2.00.ZNF184
ZNF419 ENSG00000105136 M07572.2.00.ZNF419
ZNF85 ENSG00000105750 M07573.2.00.ZNF85
ZNF430 ENSG00000118620 M07575.2.00.ZNF430
ZNF549 ENSG00000121406 M07576.2.00.ZNF549
ZNF211 ENSG00000121417 M07577.2.00.ZNF211
ZNF205 ENSG00000122386 M07578.2.00.ZNF205
ZNF45 ENSG00000124459 M07579.2.00.ZNF45
ZNF133 ENSG00000125846 M07580.2.00.ZNF133
ZNF484 ENSG00000127081 M07581.2.00.ZNF484
ZNF337 ENSG00000130684 M07583.2.00.ZNF337
ZNF317 ENSG00000130803 M07584.2.00.ZNF317
ZNF331 ENSG00000130844 M07585.2.00.ZNF331
ZNF141 ENSG00000131127 M07586.2.00.ZNF141
ZNF304 ENSG00000131845 M07587.2.00.ZNF304
ZNF132 ENSG00000131849 M07588.2.00.ZNF132
ZNF189 ENSG00000136870 M07589.2.00.ZNF189
ZNF287 ENSG00000141040 M07590.2.00.ZNF287
ZIM3 ENSG00000141946 M07591.2.00.ZIM3
ZNF614 ENSG00000142556 M07593.2.00.ZNF614
ZNF300 ENSG00000145908 M07594.2.00.ZNF300
RBAK ENSG00000146587 M07595.2.00.RBAK
ZNF157 ENSG00000147117 M07596.2.00.ZNF157
ZNF182 ENSG00000147118 M07597.2.00.ZNF182
ZNF7 ENSG00000147789 M07598.2.00.ZNF7
ZNF214 ENSG00000149050 M07599.2.00.ZNF214
ZNF547 ENSG00000152433 M07600.2.00.ZNF547
ZNF776 ENSG00000152443 M07601.2.00.ZNF776
ZNF18 ENSG00000154957 M07602.2.00.ZNF18
ZNF19 ENSG00000157429 M07603.2.00.ZNF19
ZNF222 ENSG00000159885 M07604.2.00.ZNF222
ZNF235 ENSG00000159917 M07605.2.00.ZNF235
ZNF714 ENSG00000160352 M07606.2.00.ZNF714
ZNF333 ENSG00000160961 M07607.2.00.ZNF333
ZNF382 ENSG00000161298 M07608.2.00.ZNF382
ZNF496 ENSG00000162714 M07609.2.00.ZNF496
PRDM9 ENSG00000164256 M07610.2.00.PRDM9
ZNF202 ENSG00000166261 M07612.2.00.ZNF202
ZNF3 ENSG00000166526 M07613.2.00.ZNF3
ZNF180 ENSG00000167384 M07614.2.00.ZNF180
ZNF641 ENSG00000167528 M07615.2.00.ZNF641
ZNF610 ENSG00000167554 M07616.2.00.ZNF610
ZNF528 ENSG00000167555 M07617.2.00.ZNF528
ZNF701 ENSG00000167562 M07618.2.00.ZNF701
ZNF283 ENSG00000167637 M07619.2.00.ZNF283
ZNF558 ENSG00000167785 M07620.2.00.ZNF558
ZNF30 ENSG00000168661 M07621.2.00.ZNF30
ZNF354A ENSG00000169131 M07622.2.00.ZNF354A
ZNF764 ENSG00000169951 M07623.2.00.ZNF764
ZNF778 ENSG00000170100 M07624.2.00.ZNF778
ZNF212 ENSG00000170260 M07625.2.00.ZNF212
ZNF439 ENSG00000171291 M07627.2.00.ZNF439
ZNF440 ENSG00000171295 M07628.2.00.ZNF440
ZNF562 ENSG00000171466 M07629.2.00.ZNF562
ZNF584 ENSG00000171574 M07631.2.00.ZNF584
ZIK1 ENSG00000171649 M07633.2.00.ZIK1
ZNF540 ENSG00000171817 M07634.2.00.ZNF540
ZNF570 ENSG00000171827 M07635.2.00.ZNF570
ZNF621 ENSG00000172888 M07636.2.00.ZNF621
ZNF680 ENSG00000173041 M07637.2.00.ZNF680
ZNF483 ENSG00000173258 M07638.2.00.ZNF483
ZNF417 ENSG00000173480 M07639.2.00.ZNF417
ZNF791 ENSG00000173875 M07640.2.00.ZNF791
ZNF266 ENSG00000174652 M07641.2.00.ZNF266
ZNF519 ENSG00000175322 M07642.2.00.ZNF519
ZNF25 ENSG00000175395 M07643.2.00.ZNF25
ZNF620 ENSG00000177842 M07648.2.00.ZNF620
ZNF619 ENSG00000177873 M07649.2.00.ZNF619
ZNF114 ENSG00000178150 M07650.2.00.ZNF114
ZNF543 ENSG00000178229 M07652.2.00.ZNF543
ZNF354B ENSG00000178338 M07653.2.00.ZNF354B
ZNF223 ENSG00000178386 M07654.2.00.ZNF223
ZNF552 ENSG00000178935 M07655.2.00.ZNF552
ZNF154 ENSG00000179909 M07656.2.00.ZNF154
ZNF816 ENSG00000180257 M07657.2.00.ZNF816
ZNF571 ENSG00000180479 M07658.2.00.ZNF571
ZNF443 ENSG00000180855 M07659.2.00.ZNF443
ZNF792 ENSG00000180884 M07660.2.00.ZNF792
ZNF707 ENSG00000181135 M07661.2.00.ZNF707
HKR1 ENSG00000181666 M07662.2.00.HKR1
ZNF101 ENSG00000181896 M07663.2.00.ZNF101
ZNF716 ENSG00000182111 M07664.2.00.ZNF716
ZNF708 ENSG00000182141 M07665.2.00.ZNF708
ZNF662 ENSG00000182983 M07666.2.00.ZNF662
ZNF320 ENSG00000182986 M07667.2.00.ZNF320
ZNF530 ENSG00000183647 M07668.2.00.ZNF530
ZNF730 ENSG00000183850 M07669.2.00.ZNF730
ZNF93 ENSG00000184635 M07671.2.00.ZNF93
ZFP90 ENSG00000184939 M07672.2.00.ZFP90
ZNF479 ENSG00000185177 M07673.2.00.ZNF479
ZNF445 ENSG00000185219 M07674.2.00.ZNF445
ZNF74 ENSG00000185252 M07675.2.00.ZNF74
ZNF267 ENSG00000185947 M07676.2.00.ZNF267
ZNF566 ENSG00000186017 M07677.2.00.ZNF566
ZNF529 ENSG00000186020 M07678.2.00.ZNF529
ZNF284 ENSG00000186026 M07679.2.00.ZNF284
ZNF749 ENSG00000186230 M07680.2.00.ZNF749
ZNF17 ENSG00000186272 M07681.2.00.ZNF17
ZNF555 ENSG00000186300 M07682.2.00.ZNF555
ZNF75D ENSG00000186376 M07683.2.00.ZNF75D
ZNF197 ENSG00000186448 M07684.2.00.ZNF197
ZFP69B ENSG00000187801 M07685.2.00.ZFP69B
ZFP69 ENSG00000187815 M07686.2.00.ZFP69
ZNF626 ENSG00000188171 M07687.2.00.ZNF626
ZNF793 ENSG00000188227 M07688.2.00.ZNF793
ZNF383 ENSG00000188283 M07689.2.00.ZNF383
ZNF669 ENSG00000188295 M07690.2.00.ZNF669
ZNF548 ENSG00000188785 M07691.2.00.ZNF548
ZNF567 ENSG00000189042 M07692.2.00.ZNF567
ZNF573 ENSG00000189144 M07693.2.00.ZNF573
ZNF527 ENSG00000189164 M07694.2.00.ZNF527
ZNF79 ENSG00000196152 M07697.2.00.ZNF79
ZNF681 ENSG00000196172 M07698.2.00.ZNF681
ZNF565 ENSG00000196357 M07700.2.00.ZNF565
ZNF765 ENSG00000196417 M07701.2.00.ZNF765
ZNF124 ENSG00000196418 M07702.2.00.ZNF124
ZNF605 ENSG00000196458 M07704.2.00.ZNF605
ZNF799 ENSG00000196466 M07705.2.00.ZNF799
ZNF782 ENSG00000196597 M07706.2.00.ZNF782
ZNF136 ENSG00000196646 M07708.2.00.ZNF136
ZKSCAN5 ENSG00000196652 M07709.2.00.ZKSCAN5
ZNF33B ENSG00000196693 M07710.2.00.ZNF33B
ZNF431 ENSG00000196705 M07711.2.00.ZNF431
ZNF418 ENSG00000196724 M07712.2.00.ZNF418
ZNF585A ENSG00000196967 M07713.2.00.ZNF585A
ZNF429 ENSG00000197013 M07714.2.00.ZNF429
ZNF100 ENSG00000197020 M07715.2.00.ZNF100
ZNF398 ENSG00000197024 M07716.2.00.ZNF398
ZNF441 ENSG00000197044 M07717.2.00.ZNF441
ZNF257 ENSG00000197134 M07719.2.00.ZNF257
ZNF785 ENSG00000197162 M07720.2.00.ZNF785
ZNF675 ENSG00000197372 M07722.2.00.ZNF675
ZNF860 ENSG00000197385 M07723.2.00.ZNF860
ZNF615 ENSG00000197619 M07725.2.00.ZNF615
ZNF433 ENSG00000197647 M07726.2.00.ZNF433
ZNF81 ENSG00000197779 M07728.2.00.ZNF81
ZNF780A ENSG00000197782 M07729.2.00.ZNF780A
ZNF181 ENSG00000197841 M07730.2.00.ZNF181
ZNF44 ENSG00000197857 M07731.2.00.ZNF44
ZNF823 ENSG00000197933 M07733.2.00.ZNF823
ZNF311 ENSG00000197935 M07734.2.00.ZNF311
ZNF273 ENSG00000198039 M07735.2.00.ZNF273
ZNF84 ENSG00000198040 M07736.2.00.ZNF84
ZNF667 ENSG00000198046 M07737.2.00.ZNF667
ZNF248 ENSG00000198105 M07739.2.00.ZNF248
ZNF334 ENSG00000198185 M07740.2.00.ZNF334
ZNF485 ENSG00000198298 M07741.2.00.ZNF485
ZNF442 ENSG00000198342 M07742.2.00.ZNF442
ZNF69 ENSG00000198429 M07744.2.00.ZNF69
ZNF480 ENSG00000198464 M07745.2.00.ZNF480
ZNF587 ENSG00000198466 M07746.2.00.ZNF587
ZNF808 ENSG00000198482 M07747.2.00.ZNF808
ZNF28 ENSG00000198538 M07748.2.00.ZNF28
ZNF627 ENSG00000198551 M07749.2.00.ZNF627
ZNF789 ENSG00000198556 M07750.2.00.ZNF789
ZNF534 ENSG00000198633 M07751.2.00.ZNF534
ZNF525 ENSG00000203326 M07752.2.00.ZNF525
ZNF805 ENSG00000204524 M07753.2.00.ZNF805
ZNF468 ENSG00000204604 M07754.2.00.ZNF468
ZNF616 ENSG00000204611 M07755.2.00.ZNF616
ZNF783 ENSG00000204946 M07757.2.00.ZNF783
ZNF611 ENSG00000213020 M07759.2.00.ZNF611
ZNF254 ENSG00000213096 M07760.2.00.ZNF254
ZNF90 ENSG00000213988 M07761.2.00.ZNF90
ZNF891 ENSG00000214029 M07762.2.00.ZNF891
ZNF705G ENSG00000215372 M07763.2.00.ZNF705G
ZNF880 ENSG00000221923 M07764.2.00.ZNF880
ZNF492 ENSG00000229676 M07765.2.00.ZNF492
ZNF879 ENSG00000234284 M07766.2.00.ZNF879
ZNF736 ENSG00000234444 M07767.2.00.ZNF736
ZNF737 ENSG00000237440 M07768.2.00.ZNF737
ZNF324B ENSG00000249471 M07769.2.00.ZNF324B
ZNF564 ENSG00000249709 M07770.2.00.ZNF564
ZNF674 ENSG00000251192 M07771.2.00.ZNF674
ZNF550 ENSG00000251369 M07772.2.00.ZNF550
ZNF432 ENSG00000256087 M07773.2.00.ZNF432
ZNF10 ENSG00000256223 M07774.2.00.ZNF10
ZNF486 ENSG00000256229 M07775.2.00.ZNF486
ZNF225 ENSG00000256294 M07776.2.00.ZNF225
ZNF285 ENSG00000267508 M07777.2.00.ZNF285
ZNF224 ENSG00000267680 M07778.2.00.ZNF224
ZIM2 ENSG00000269699 M07779.2.00.ZIM2
ZNF2 ENSG00000275111 M07780.2.00.ZNF2
ZNF8 ENSG00000278129 M07781.2.00.ZNF8
ZNF487 ENSG00000243660 M07782.2.00.ZNF487
MXI1 ENSG00000119950 M07790.2.00.MXI1
MYC ENSG00000136997 M07799.2.00.MYC
REST ENSG00000084093 M07846.2.00.REST
CTCFL ENSG00000124092 M07930.2.00.CTCFL
E2F6 ENSG00000169016 M07939.2.00.E2F6
PBX3 ENSG00000167081 M07971.2.00.PBX3
STAT1 ENSG00000115415 M08013.2.00.STAT1
STAT3 ENSG00000168610 M08015.2.00.STAT3
STAT2 ENSG00000170581 M08019.2.00.STAT2
THAP1 ENSG00000131931 M08020.2.00.THAP1
TP73 ENSG00000078900 M08035.2.00.TP73
HIF1A ENSG00000100644 M08049.2.00.HIF1A
TWIST1 ENSG00000122691 M08052.2.00.TWIST1
MITF ENSG00000187098 M08058.2.00.MITF
ZEB2 ENSG00000169554 M08080.2.00.ZEB2
KLF9 ENSG00000119138 M08088.2.00.KLF9
ZNF24 ENSG00000172466 M08093.2.00.ZNF24
NFYA ENSG00000001167 M08104.2.00.NFYA
TFDP1 ENSG00000198176 M08108.2.00.TFDP1
FOXK2 ENSG00000141568 M08118.2.00.FOXK2
FOXH1 ENSG00000160973 M08119.2.00.FOXH1
GRHL2 ENSG00000083307 M08129.2.00.GRHL2
PBX2 ENSG00000204304 M08134.2.00.PBX2
DUX4 ENSG00000260596 M08135.2.00.DUX4
IRF1 ENSG00000125347 M08142.2.00.IRF1
MYB ENSG00000118513 M08150.2.00.MYB
ESR2 ENSG00000140009 M08154.2.00.ESR2
HNF4G ENSG00000164749 M08155.2.00.HNF4G
NR2F2 ENSG00000185551 M08157.2.00.NR2F2
RELB ENSG00000104856 M08161.2.00.RELB
SOX13 ENSG00000143842 M08166.2.00.SOX13
TCF7L2 ENSG00000148737 M08167.2.00.TCF7L2
NFYB ENSG00000120837 M08178.2.00.NFYB
BACH1 ENSG00000156273 M08184.2.00.BACH1
SIX5 ENSG00000177045 M08208.2.00.SIX5
TBP ENSG00000112592 M08231.2.00.TBP
ZIC2 ENSG00000043355 M08233.2.00.ZIC2
ZNF416 ENSG00000083817 M08234.2.00.ZNF416
ZNF574 ENSG00000105732 M08239.2.00.ZNF574
ZNF41 ENSG00000147124 M08245.2.00.ZNF41
ZNF653 ENSG00000161914 M08248.2.00.ZNF653
ZNF35 ENSG00000169981 M08250.2.00.ZNF35
ZNF16 ENSG00000170631 M08251.2.00.ZNF16
ZNF692 ENSG00000171163 M08253.2.00.ZNF692
ZFP3 ENSG00000180787 M08258.2.00.ZFP3
ZNF322 ENSG00000181315 M08259.2.00.ZNF322
ZNF467 ENSG00000181444 M08260.2.00.ZNF467
ZSCAN22 ENSG00000182318 M08261.2.00.ZSCAN22
ZNF71 ENSG00000197951 M08267.2.00.ZNF71
ZFP64 ENSG00000020256 M08275.2.00.ZFP64
PRDM6 ENSG00000061455 M08277.2.00.PRDM6
ZNF586 ENSG00000083828 M08281.2.00.ZNF586
MYNN ENSG00000085274 M08283.2.00.MYNN
ZNF213 ENSG00000085644 M08284.2.00.ZNF213
PATZ1 ENSG00000100105 M08287.2.00.PATZ1
MAZ ENSG00000103495 M08290.2.00.MAZ
ZNF175 ENSG00000105497 M08292.2.00.ZNF175
KLF7 ENSG00000118263 M08298.2.00.KLF7
GTF3A ENSG00000122034 M08301.2.00.GTF3A
ZNF436 ENSG00000125945 M08305.2.00.ZNF436
FEZF1 ENSG00000128610 M08307.2.00.FEZF1
ZNF341 ENSG00000131061 M08310.2.00.ZNF341
ZNF394 ENSG00000160908 M08318.2.00.ZNF394
IKZF3 ENSG00000161405 M08320.2.00.IKZF3
ZNF513 ENSG00000163795 M08322.2.00.ZNF513
ZNF146 ENSG00000167635 M08329.2.00.ZNF146
ZNF280A ENSG00000169548 M08332.2.00.ZNF280A
ZNF768 ENSG00000169957 M08333.2.00.ZNF768
ZNF554 ENSG00000172006 M08341.2.00.ZNF554
ZNF596 ENSG00000172748 M08342.2.00.ZNF596
ZBTB42 ENSG00000179627 M08351.2.00.ZBTB42
ZNF594 ENSG00000180626 M08354.2.00.ZNF594
ZNF329 ENSG00000181894 M08359.2.00.ZNF329
ZBTB6 ENSG00000186130 M08364.2.00.ZBTB6
ZSCAN30 ENSG00000186814 M08365.2.00.ZSCAN30
ZNF490 ENSG00000188033 M08366.2.00.ZNF490
ZNF563 ENSG00000188868 M08368.2.00.ZNF563
ZNF34 ENSG00000196378 M08371.2.00.ZNF34
ZNF774 ENSG00000196391 M08373.2.00.ZNF774
ZNF502 ENSG00000196653 M08375.2.00.ZNF502
ZFP28 ENSG00000196867 M08378.2.00.ZFP28
ZNF98 ENSG00000197360 M08380.2.00.ZNF98
ZNF677 ENSG00000197928 M08382.2.00.ZNF677
ZNF121 ENSG00000197961 M08384.2.00.ZNF121
ZNF770 ENSG00000198146 M08388.2.00.ZNF770
ZSCAN5C ENSG00000204532 M08390.2.00.ZSCAN5C
ZBTB48 ENSG00000204859 M08391.2.00.ZBTB48
ZNF134 ENSG00000213762 M08392.2.00.ZNF134
GLI4 ENSG00000250571 M08394.2.00.GLI4
ZNF260 ENSG00000254004 M08395.2.00.ZNF260
ZNF350 ENSG00000256683 M08396.2.00.ZNF350
ZNF595 ENSG00000272602 M08400.2.00.ZNF595
INSM1 ENSG00000173404 M08445.2.00.INSM1
